,orig_index,Bank Group,Bank Address,CAddr,RAddr
2309,2773,0,2,250,F73
2310,2774,1,0,0,C58
2311,2776,0,2,250,F73
2312,2777,1,0,0,C58
2313,2778,0,2,250,F73
2314,2779,0,2,250,F73
2315,2780,1,0,0,C58
2316,2782,0,2,250,F73
2317,2783,1,0,0,C58
2318,2784,0,2,250,F73
2319,2785,0,2,250,F73
2320,2786,1,0,0,C58
2321,2788,0,2,250,F73
2322,2789,1,0,0,C58
2323,2790,0,2,250,F73
2324,2791,0,2,250,F73
2325,2792,1,0,0,C58
2326,2794,0,2,250,F73
2327,2795,1,0,0,C58
2328,2796,0,2,250,F73
2329,2797,0,2,250,F73
2330,2798,1,0,0,C58
2331,2800,0,2,250,F73
2332,2801,1,0,0,C58
2333,2802,0,2,250,F73
2334,2803,0,2,250,F73
2335,2804,1,0,0,C58
2336,2806,0,2,250,F73
2337,2807,1,0,0,C58
2338,2808,0,2,250,F73
2339,2809,0,2,250,F73
2340,2810,1,0,0,C58
2341,2812,0,2,250,F73
2342,2813,1,0,0,C58
2343,2814,0,2,250,F73
2344,2815,0,2,250,F73
2345,2816,1,0,0,C58
2346,2818,0,2,250,F73
2347,2819,1,0,0,C58
2348,2820,0,2,250,F73
2349,2821,0,2,250,F73
2350,2822,1,0,0,C58
2351,2824,0,2,250,F73
2352,2825,1,0,0,C58
2353,2826,0,2,250,F73
2354,2827,0,2,250,F73
2355,2828,1,0,0,C58
2356,2830,0,2,250,F73
2357,2831,1,0,0,C58
2358,2832,0,2,250,F73
2359,2833,0,2,250,F73
2360,2834,1,0,0,C58
2361,2836,0,2,250,F73
2362,2837,1,0,0,C58
2363,2838,0,2,250,F73
2364,2839,0,2,250,F73
2365,2840,1,0,0,C58
2366,2842,0,2,250,F73
2367,2843,1,0,0,C58
2368,2844,0,2,250,F73
2369,2845,0,2,250,F73
2370,2846,1,0,0,C58
2371,2848,0,2,250,F73
2372,2849,1,0,0,C58
2373,2850,0,2,250,F73
